1, 1-connected, nl, true, 10033, 1
1, 1-connected, gt, true, 10019, 2
1, 1-connected, mx, true, 9330, 3
1, 1-connected, cn, true, 10030, 4
1, 1-connected, cm, true, 10008, 5
1, 1-connected, nl, true, 10012, 6
1, 1-connected, gt, true, 10020, 7
1, 1-connected, mx, true, 10012, 8
1, 1-connected, cn, true, 10043, 9
1, 1-connected, cm, true, 10019, 10
1, 1-connected, nl, true, 10024, 11
1, 1-connected, gt, true, 10013, 12
1, 1-connected, mx, true, 10039, 13
1, 1-connected, cn, false, 10029, 14
1, 1-connected, cm, true, 10012, 15
1, 1-connected, nl, true, 10020, 16
1, 1-connected, gt, true, 10034, 17
1, 1-connected, mx, true, 10011, 18
1, 1-connected, cn, true, 10016, 19
1, 1-connected, cm, false, 10019, 20
1, 1-connected, nl, true, 10010, 21
1, 1-connected, gt, true, 10048, 22
1, 1-connected, mx, false, 10030, 23
1, 1-connected, cn, false, 10011, 24
1, 1-connected, cm, true, 10047, 25
1, 1-connected, nl, false, 10027, 26
1, 1-connected, gt, true, 10010, 27
1, 1-connected, mx, false, 10011, 28
1, 1-connected, cn, true, 10036, 29
1, 1-connected, cm, true, 10009, 30
1, 1-connected, nl, true, 10021, 31
1, 1-connected, gt, false, 10035, 32
1, 1-connected, mx, true, 10017, 33
1, 1-connected, cn, true, 10014, 34
1, 1-connected, cm, true, 10037, 35
1, 1-connected, nl, false, 10028, 36
1, 1-connected, gt, false, 10021, 37
1, 1-connected, mx, true, 10021, 38
1, 1-connected, cn, true, 10030, 39
1, 1-connected, cm, true, 10015, 40
1, 2-connected, gt, true, 10017, 41
1, 2-connected, mx, true, 10029, 42
1, 2-connected, cn, true, 6132, 43
1, 2-connected, cm, true, 10018, 44
1, 2-connected, nl, true, 10021, 45
1, 2-connected, gt, true, 10011, 46
1, 2-connected, mx, true, 10037, 47
1, 2-connected, cn, true, 10011, 48
1, 2-connected, cm, false, 10011, 49
1, 2-connected, nl, false, 10015, 50
1, 2-connected, gt, true, 10026, 51
1, 2-connected, mx, true, 10015, 52
1, 2-connected, cn, true, 10016, 53
1, 2-connected, cm, true, 10011, 54
1, 2-connected, nl, true, 10010, 55
1, 2-connected, gt, true, 10021, 56
1, 2-connected, mx, true, 10033, 57
1, 2-connected, cn, true, 10019, 58
1, 2-connected, cm, true, 10031, 59
1, 2-connected, nl, true, 10026, 60
1, 2-connected, gt, true, 10020, 61
1, 2-connected, mx, false, 10054, 62
1, 2-connected, cn, true, 10021, 63
1, 2-connected, cm, true, 10013, 64
1, 2-connected, nl, true, 10020, 65
1, 2-connected, gt, true, 10015, 66
1, 2-connected, mx, true, 10016, 67
1, 2-connected, cn, true, 10014, 68
1, 2-connected, cm, true, 10022, 69
1, 2-connected, nl, true, 10021, 70
1, 2-connected, gt, true, 10020, 71
1, 2-connected, mx, false, 10018, 72
1, 2-connected, cn, false, 10042, 73
1, 2-connected, cm, true, 10022, 74
1, 2-connected, nl, true, 8324, 75
1, 2-connected, gt, false, 10048, 76
1, 2-connected, mx, false, 10010, 77
